id,iva_texto,nombre,codigo_barra,descripcion,tipo_producto,costo,pvp,stock,stock_previo,imagen,fecha_caducidad,control_fecha_caducidad,vendible,visible,descuento,estado,fecha_registro,categoria_id,ice_id,iva_id,presentacion_id,ubicacion_id,utilidad,codigo_principal,costo_utilidad,ubicacion_texto
23,IVA 12 %,"FIL. AIRE FIL TECK CAA-2027 CHEV. NPR, NQR, NMR",Desconocido,Desconocido,1,11.79,19.0,0,1,,2022-04-02,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-02 11:03:35.688702,2,Desconocido,1,1.0,23.27777777777778,43.89,CAA-2027,16.9646,Ubicación no definida
24,IVA 12 %,ACEITE ENI ISIGMA PLUS 25W60 4EC BL X 5GL,Desconocido,Desconocido,1,66.21,94.0,0,1,,2022-04-02,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-02 11:05:55.922510,3,Desconocido,1,2.0,23.27777777777778,26.76,BB10AG02-120640,83.9278,Ubicación no definida
25,IVA 12 %,ACEITE ENI ISIGMA MULTI 15W40 4EC BL X 5 GL,Desconocido,Desconocido,1,65.24,93.0,0,1,,2022-04-02,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-02 11:07:06.324626,3,Desconocido,1,2.0,23.27777777777778,27.28,BB10AG02-120440-1,83.0375,Ubicación no definida
27,IVA 12 %,LAVADO AUTOBOMBA HINO FC 1018,Desconocido,Desconocido,2,13.0,21.0,0,0,,2022-04-02,1970-01-01 00:00:00.000000001,1,0,0,1,2022-04-02 12:04:47.379694,10,Desconocido,1,3.9478260869565216,23.27777777777778,44.23,Desconocido,18.7499,Ubicación no definida
28,IVA 12 %,LAVADO AUTOBOMBA MERCEDEZ BENZ (LAVADO COMPLETO),Desconocido,Desconocido,2,18.18,22.4,0,0,,2022-04-02,1970-01-01 00:00:00.000000001,1,0,0,1,2022-04-02 12:08:02.290136,10,Desconocido,1,3.9478260869565216,23.27777777777778,10.0,Desconocido,19.998,Ubicación no definida
29,IVA 12 %,"LAVADO, ENGRASADO Y PULVERIZADO AMB. MAZDA BT50",Desconocido,Desconocido,2,7.69,11.2,0,0,,2022-04-02,1970-01-01 00:00:00.000000001,1,0,0,1,2022-04-02 12:09:45.453543,10,Desconocido,1,3.9478260869565216,23.27777777777778,30.0,Desconocido,9.997,Ubicación no definida
35,IVA 12 %,KENDALL 20W50 GL SEMI SINTETICO,Desconocido,Desconocido,1,18.636,25.0,0,0,,2022-04-02,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-02 19:08:19.290230,3,Desconocido,1,3.9478260869565216,23.27777777777778,19.78,KEN0005,22.3222,Ubicación no definida
920,IVA 12 %,"MOBIL SUPER 1000 10W-30 AP SN, SM, SL GALON",Desconocido,Desconocido,1,17.22,23.0,0,0,,2022-04-03,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-03 09:59:50.642366,3,Desconocido,1,8.0,23.27777777777778,19.26,98LE30,20.5366,Ubicación no definida
921,IVA 12 %,"MOBIL SUPER 2000 5W30 SYNTHETIC BLEND API SN, SM, SL GALON",Desconocido,Desconocido,1,18.75,27.0,0,0,,2022-04-03,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-03 10:13:42.533528,3,Desconocido,1,8.0,23.27777777777778,28.57,T601286,24.1069,Ubicación no definida
922,IVA 15 %,"MOBIL SUPER 1000 10W30  API SN, SM, SL LITRO",Desconocido,Desconocido,1,4.24,6.75,2,0,,2022-04-03,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-03 10:16:37.938572,3,Desconocido,1,6.0,23.27777777777778,38.43,98468N,5.8694,Ubicación no definida
924,IVA 12 %,BUJIA NGK BKR5E 90801 CIELO SWIFT TROOPER V-6,7897707507788,Desconocido,1,0.0,0.0,0,0,,2022-04-03,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-03 11:12:58.778982,12,Desconocido,1,1.0,23.27777777777778,12.0,Desconocido,0.0,Ubicación no definida
928,IVA 12 %,"FIL. ACE. SHOGUN SH-2862 CORSA, DIMAX, AVEO LUV (3387)",Desconocido,Desconocido,1,1.63,3.0,0,0,,2022-04-03,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-03 11:24:45.424619,12,Desconocido,1,3.9478260869565216,23.27777777777778,64.33,SN-2862,2.6786,Ubicación no definida
929,IVA 12 %,F  ACE-L 8-98165071-0 REDFIL  CHEV DIMAX NUEVA CRDI 2014-2020 DIESEL 4021,Desconocido,Desconocido,1,0.0,0.0,0,0,,2022-04-03,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-03 11:24:45.436798,12,Desconocido,1,3.9478260869565216,23.27777777777778,0.0,RL-50710,0.0,Ubicación no definida
